,title,price,link
10,"Primebook S 4G, 2024(New, WiFi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C, USB, HDMI, MicroSD) (4GB/128GB eMMC Storage, Black)  ","15,790",https://amazon.in//Primebook-4G-Android-MediaTek-MT8788/dp/B0D1Y359QD/ref=sr_1_90?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-90
11,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","34,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNjI5MDAyNzM2NzIwMjI2OjE3MzE2MTc1OTI6c3BfbXRmOjMwMDM1MDU1NTA1MzQzMjo6MDo6&url=%2FAcer-5-5625U-Premium-Windows-AL15-41%2Fdp%2FB0DG2GCTD7%2Fref%3Dsr_1_91_sspa%3Fcrid%3D5BLOEJ9SMC72%26dib%3DeyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1731617592%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-91-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
12,"HP Laptop 14, Intel Core Ultra 7 155H, Built-in AI, 14-inch (35.6 cm), FHD, 16GB DDR5, 512GB SSD, Intel Arc Graphics, 1080p FHD Camera w/Privacy Shutter, Backlit KB (Win 11, Silver, 1.4 kg), gr1023TU  ","83,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozNjI5MDAyNzM2NzIwMjI2OjE3MzE2MTc1OTI6c3BfbXRmOjMwMDM0MjQ3NzY5ODYzMjo6MDo6&url=%2FHP-14-inch-Graphics-Privacy-gr1023TU%2Fdp%2FB0D8J85F5X%2Fref%3Dsr_1_92_sspa%3Fcrid%3D5BLOEJ9SMC72%26dib%3DeyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1731617592%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-92-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
13,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A324-45 with 35.56 cm (14"") HD Display, Pure Silver, 1.3 KG  ","20,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSTHRD/ref=sr_1_7?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.oImuo9WRyEf17eqX3Pr54aEEYbKtmlDD8GKPNWa5neEW-_LW77YZRX4IuZ4Hm3lPGLHntuPzHfR_2Bq-3bQIuxpVP_Lu8BJyLzGIxUChuaQKo2ax57b1nR1mt2cUbccSdlKScyyO4wMnMhIcofFXqvO4-WzBV3qXQ-CDCG9Ae416RQKg8k7nDpPl1p-3ym8ZkonXwSkZy3_ijircCI7WoWyXGZ_C5S2OcfwD90JNhqo.Q1YEodEcnCkWxqJ_NzmeMNkil1bNd0E6q3LRZO_Mu4I&dib_tag=se&keywords=laptop&qid=1731617571&sprefix=laptop%2Caps%2C214&sr=8-7
14,"HP 15 Ryzen 3 7320U (8GB RAM/512GB SSD/FHD/15.6"" (39.6 cm)/Backlit Keyboard/Windows 11/MS Office 21/1.59kg/Silver) fc0026AU Laptop  ","32,990",https://amazon.in//HP-15-6-inch-Graphics-Privacy-fc0026AU/dp/B0C3RCR4K7/ref=sr_1_93?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-93
15,"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg  ","40,149",https://amazon.in//Dell-Inspiron-3530-i3-1305U-Comfortview/dp/B0C4ZM63RP/ref=sr_1_94?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-94
16,"HP Victus Gaming Laptop, AMD Ryzen 5 5600H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&O, 9ms Response time, Dual Speakers (Blue, 2.37 kg), fb0106AX  ","59,990",https://amazon.in//HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX/ref=sr_1_95?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-95
17,"(Refurbished) Lenovo ThinkPad X260 6th Gen Intel Core i7 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|12.5"" (31.8 cm) HD|Windows 11|MS Office|WiFi|BT|Webcam|Intel HD Graphics)  ","15,429",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0DKKKSZYQ/ref=sr_1_96?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-96
18,"Acer Aspire 3 Intel Core i3-1215U Processor Laptop with 35.56 cm (14"") Full HD LED-Backlit IPS Display (8 GB RAM/512 GB SSD/Wifi 6/Intel Graphics/Win11 Home/65W) A324-51, Steel Gray, 1.45KG  ","27,990",https://amazon.in//Acer-i3-1215U-Processor-LED-Backlit-A324-51/dp/B0D817J16G/ref=sr_1_97?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-97
19,"ASUS Rog Zephyrus G16,16 (40.64Cm) 2.5K OLED Rog Nebula Display 240Hz,Ultra 7 155H,Gaming Laptop(16Gb Lpddrx/1Tb Ssd/Nvidia Geforce RTX 4060/Intel Win11/Office 2021 Grey/1.85 Kg),Gu605Mv-Co711Ws  ","1,79,990",https://amazon.in//ASUS-Zephyrus-40-64Cm-Display-Gu605Mv-Co711Ws/dp/B09T9CQ5DR/ref=sr_1_98?crid=5BLOEJ9SMC72&dib=eyJ2IjoiMSJ9.q9hESf4TCvYIiDSjs_urCqGzUo0NmqEerDPWqBrbRBk4gpzIkoJYC36r8KkhvU5bY2yu_R6h__CnEYS6Y6eLm84s3mv7M_hIAoi6zsj8QnDeXb3gdEo6FxhUmgsqmv4aIqdx4ZxQfHMx7PDTIMPLbqOL8nPqjuDBiWLISkKUibitAeoMhu_vmMluS88368kitdodYFmkFhlk0qwJw00kRQsSjP5UrLZcKk6Z5B-03ws.lRjnyV5-vrfaT0KRlY2IPSjG6G_525waH-K7CqWOsGo&dib_tag=se&keywords=laptop&qid=1731617592&sprefix=laptop%2Caps%2C214&sr=8-98
